invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-57363100021,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1011100,BLENDED WHISKIES,260,DIAGEO AMERICAS,25608,SEAGRAMS 7 CROWN,6,1750,13.99,20.99,12,251.88,21.00,5.54
INV-57363100022,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1701100,TEMPORARY & SPECIALTY PACKAGES,125,CEDAR RIDGE VINEYARDS LL,26096,CEDAR RIDGE DOUBLE BARREL BOURBON WHISKEY,6,750,25.00,37.50,6,225.00,4.50,1.18
INV-57363100023,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1011400,TENNESSEE WHISKIES,085,BROWN FORMAN CORP.,26821,JACK DANIELS OLD #7 BLACK LABEL MINI,12,50,11.50,17.25,12,207.00,0.60,0.15
INV-57363100024,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1011700,CORN WHISKIES,342,DV SPIRITS LLC,27370,AMERICAN BORN MOONSHINE APPLE PIE,6,750,11.50,17.25,6,103.50,4.50,1.18
INV-57363100025,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1032100,IMPORTED VODKAS,421,SAZERAC COMPANY  INC,34690,SOBIESKI,12,750,7.25,10.88,12,117.00,9.00,2.37
INV-57363100026,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1031100,AMERICAN VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8.00,12.00,12,144.00,9.00,2.37
INV-57363100027,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1032200,IMPORTED FLAVORED VODKA,065,JIM BEAM BRANDS,35626,PINNACLE WHIPPED,12,750,6.50,9.75,12,117.00,9.00,2.37
INV-57363100028,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1031100,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,35944,FLEISCHMANNS 80PRF VODKA,24,375,1.74,2.61,24,62.64,9.00,2.37
INV-57363100029,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1031100,AMERICAN VODKAS,434,LUXCO INC,36301,HAWKEYE VODKA MINI,12,50,4.50,6.75,12,81.00,0.60,0.15
INV-57363100030,2023-04-10T00:00:00.000,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.62877499499996 41.52655728800005),,POLK,1031100,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.50,5.25,12,63.00,9.00,2.37
