invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-61983800012,2023-09-07T00:00:00.000,5565,CASEY'S GENERAL STORE #2689 / ANKENY,1310 NW 18TH ST,ANKENY,50023,POINT (-93.616825963 41.747042994),,POLK,1062400,SPICED RUM,260,DIAGEO AMERICAS,43336,CAPTAIN MORGAN ORIGINAL SPICED,12,750,9.49,14.24,24,341.76,18.00,4.75
INV-61983800013,2023-09-07T00:00:00.000,5565,CASEY'S GENERAL STORE #2689 / ANKENY,1310 NW 18TH ST,ANKENY,50023,POINT (-93.616825963 41.747042994),,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64870,FIREBALL CINNAMON WHISKEY,48,100,1.00,1.50,48,72.00,4.80,1.26
INV-61983800014,2023-09-07T00:00:00.000,5565,CASEY'S GENERAL STORE #2689 / ANKENY,1310 NW 18TH ST,ANKENY,50023,POINT (-93.616825963 41.747042994),,POLK,1081300,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,84160,99 APPLES MINI DISPLAY,1,50,51.60,77.40,1,77.40,0.05,0.01
INV-61983900001,2023-09-07T00:00:00.000,4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,POINT (-93.59977097 41.746975981),,POLK,1081400,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.60,77.40,1,77.40,0.05,0.01
INV-61983900002,2023-09-07T00:00:00.000,4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,POINT (-93.59977097 41.746975981),,POLK,1062400,SPICED RUM,260,DIAGEO AMERICAS,1799,CAPTAIN MORGAN ORIGINAL SPICED BARREL,6,1750,18.99,28.49,1,27.00,1.75,0.46
INV-61983900003,2023-09-07T00:00:00.000,4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,POINT (-93.59977097 41.746975981),,POLK,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.00,10.50,6,63.00,0.30,0.07
INV-61983900004,2023-09-07T00:00:00.000,4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,POINT (-93.59977097 41.746975981),,POLK,1011400,TENNESSEE WHISKIES,085,BROWN FORMAN CORP.,26820,JACK DANIELS OLD #7 BLACK LABEL FLAT,24,375,8.25,12.38,6,74.28,2.25,0.59
INV-61983900005,2023-09-07T00:00:00.000,4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,POINT (-93.59977097 41.746975981),,POLK,1031100,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6,1750,7.50,11.25,3,33.75,5.25,1.38
INV-61983900006,2023-09-07T00:00:00.000,4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,POINT (-93.59977097 41.746975981),,POLK,1031100,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36904,MCCORMICK 80PRF VODKA PET,24,375,1.84,2.76,6,16.56,2.25,0.59
INV-61983900007,2023-09-07T00:00:00.000,4404,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,POINT (-93.59977097 41.746975981),,POLK,1031100,AMERICAN VODKAS,205,E & J GALLO WINERY,36965,NEW AMSTERDAM 80PRF MINI,10,50,5.54,8.31,4,33.24,0.20,0.05
