invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-59895200016,2023-06-30T00:00:00.000,3910,RIVERSIDE CASINO AND RESORT,3184 HIGHWAY 22,RIVERSIDE,52327,POINT (-91.528676959 41.499793991),,WASHINGTON,1052100,IMPORTED BRANDIES,065,JIM BEAM BRANDS,47786,COURVOISIER VS COGNAC,12,750,19.50,29.25,12,351.00,9.00,2.37
INV-59895200017,2023-06-30T00:00:00.000,3910,RIVERSIDE CASINO AND RESORT,3184 HIGHWAY 22,RIVERSIDE,52327,POINT (-91.528676959 41.499793991),,WASHINGTON,1081400,AMERICAN SCHNAPPS,065,JIM BEAM BRANDS,82849,DEKUYPER LUSCIOUS PEACHTREE PET,6,1750,11.75,17.63,6,105.78,10.50,2.77
INV-59895300001,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,24,117.12,9.00,2.37
INV-59895300002,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.50,8.25,24,198.00,18.00,4.75
INV-59895300003,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11788,BLACK VELVET,6,1750,11.00,16.50,6,99.00,10.50,2.77
INV-59895300004,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.00,10.50,12,126.00,0.60,0.15
INV-59895300005,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19066,JIM BEAM,12,750,11.00,16.50,12,198.00,9.00,2.37
INV-59895300006,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1011400,TENNESSEE WHISKIES,085,BROWN FORMAN CORP.,26821,JACK DANIELS OLD #7 BLACK LABEL MINI,12,50,11.50,17.25,12,207.00,0.60,0.15
INV-59895300007,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1032100,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,12,179.88,9.00,2.37
INV-59895300008,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1031100,AMERICAN VODKAS,777,"BLUE OX SPIRITS, INC.",36873,BLUE OX VODKA,12,750,3.66,5.49,12,65.88,9.00,2.37
INV-59895300009,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1031100,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36904,MCCORMICK 80PRF VODKA PET,24,375,1.84,2.76,24,66.24,9.00,2.37
INV-59895300010,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6,1750,19.00,28.50,6,171.00,10.50,2.77
INV-59895300011,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38194,TITOS HANDMADE VODKA MINI,5,50,12.80,19.20,5,96.00,0.25,0.06
INV-59895300012,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1062400,SPICED RUM,260,DIAGEO AMERICAS,43331,CAPTAIN MORGAN ORIGINAL SPICED MINI,12,50,4.80,7.20,12,86.40,0.60,0.15
INV-59895300013,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1062400,SPICED RUM,260,DIAGEO AMERICAS,43336,CAPTAIN MORGAN ORIGINAL SPICED,12,750,9.49,14.24,12,163.08,9.00,2.37
INV-59895300014,2023-06-30T00:00:00.000,5951,CASEY'S GENERAL STORE #3900 / RIVERSIDE,3070 HWY 22,RIVERSIDE,52327,POINT (-91.547386037 41.489042985),,WASHINGTON,1052100,IMPORTED BRANDIES,420,MOET HENNESSY USA,48099,HENNESSY VS,24,200,7.49,11.24,24,269.76,4.80,1.26
