invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-64694300021,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1062500,FLAVORED RUM,370,PERNOD RICARD USA,42716,MALIBU COCONUT,12,750,8.99,13.49,12,161.88,9.00,2.37
INV-64694300022,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1062200,WHITE RUM,035,BACARDI USA INC,43126,BACARDI SUPERIOR,12,750,8.76,13.14,12,157.68,9.00,2.37
INV-64694300023,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1062500,FLAVORED RUM,035,BACARDI USA INC,43138,BACARDI LIMON,6,1750,15.50,23.25,6,139.50,10.50,2.77
INV-64694300024,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1062200,WHITE RUM,434,LUXCO INC,45278,PARAMOUNT WHITE RUM,6,1750,8.00,12.00,6,72.00,10.50,2.77
INV-64694300025,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1082100,IMPORTED CORDIALS & LIQUEURS,035,BACARDI USA INC,47865,D'USSE VSOP,6,750,32.00,48.00,6,288.00,4.50,1.18
INV-64694300026,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1052100,IMPORTED BRANDIES,420,MOET HENNESSY USA,48106,HENNESSY VS,12,750,19.99,29.99,12,359.88,9.00,2.37
INV-64694300027,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1051100,AMERICAN BRANDIES,205,E & J GALLO WINERY,52582,E & J VSOP,12,750,7.24,10.86,12,130.32,9.00,2.37
INV-64694300028,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1012200,SCOTCH WHISKIES,260,DIAGEO AMERICAS,5346,JOHNNIE WALKER RED,12,750,13.50,20.25,12,243.00,9.00,2.37
INV-64694300030,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64868,FIREBALL CINNAMON WHISKEY,6,1750,16.00,24.00,6,144.00,10.50,2.77
INV-64694300031,2023-11-28T00:00:00.000,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,POINT (-93.555810989 41.373346989),,WARREN,1082100,IMPORTED CORDIALS & LIQUEURS,619,CAMPARI AMERICA,65125,GRAND MARNIER CORDON ROUGE,12,375,11.00,16.50,12,198.00,4.50,1.18
