invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-57905200004,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19066,JIM BEAM,12,750,11.00,16.50,12,198.00,9.00,2.37
INV-57905200005,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1701100,TEMPORARY & SPECIALTY PACKAGES,434,LUXCO INC,20318,OLD EZRA 7YR,6,750,40.00,60.00,1,60.00,0.75,0.19
INV-57905200006,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1011100,BLENDED WHISKIES,260,DIAGEO AMERICAS,25608,SEAGRAMS 7 CROWN,6,1750,13.99,20.99,6,125.94,10.50,2.77
INV-57905200007,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35918,FIVE O'CLOCK VODKA,6,1750,7.72,11.58,6,69.48,10.50,2.77
INV-57905200008,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1031100,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6,1750,7.50,11.25,6,67.50,10.50,2.77
INV-57905200009,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1031100,AMERICAN VODKAS,380,PHILLIPS BEVERAGE,37338,UV VODKA PET,6,1750,8.50,12.75,6,103.50,10.50,2.77
INV-57905200010,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38176,TITOS HANDMADE VODKA,12,750,10.00,15.00,12,180.00,9.00,2.37
INV-57905200011,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1012200,SCOTCH WHISKIES,240,WILLIAM GRANT & SONS INC,5159,GLENFIDDICH 14YR,6,750,32.50,48.75,2,97.50,1.50,0.39
INV-57905200012,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1071000,COCKTAILS/RTD,421,SAZERAC COMPANY  INC,57120,CHI-CHI'S LONG ISLAND ICED TEA,6,1750,6.50,9.75,18,175.50,31.50,8.32
INV-57905200013,2023-04-26T00:00:00.000,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT (-92.64836100499997 41.292980002000036),,MAHASKA,1071000,COCKTAILS/RTD,421,SAZERAC COMPANY  INC,57120,CHI-CHI'S LONG ISLAND ICED TEA,6,1750,6.50,9.75,2,19.50,3.50,0.92
