invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-63531400015,2023-10-22T00:00:00.000,5005,LAURENS FOOD PRIDE,410 W MAIN ST,LAURENS,50554,POINT (-94.85333597 42.846958992),,POCAHONTAS,1012200,SCOTCH WHISKIES,035,BACARDI USA INC,4866,DEWARS WHITE LABEL SCOTCH,12,750,13.50,20.25,12,243.00,9.00,2.37
INV-63531400016,2023-10-22T00:00:00.000,5005,LAURENS FOOD PRIDE,410 W MAIN ST,LAURENS,50554,POINT (-94.85333597 42.846958992),,POCAHONTAS,1051100,AMERICAN BRANDIES,434,LUXCO INC,55506,PARAMOUNT CHERRY BRANDY,12,750,5.75,8.63,3,25.89,2.25,0.59
INV-63531400017,2023-10-22T00:00:00.000,5005,LAURENS FOOD PRIDE,410 W MAIN ST,LAURENS,50554,POINT (-94.85333597 42.846958992),,POCAHONTAS,1071000,COCKTAILS/RTD,421,SAZERAC COMPANY  INC,57157,CHI-CHI'S PINA COLADA,6,1750,6.50,9.75,3,29.25,5.25,1.38
INV-63531400018,2023-10-22T00:00:00.000,5005,LAURENS FOOD PRIDE,410 W MAIN ST,LAURENS,50554,POINT (-94.85333597 42.846958992),,POCAHONTAS,1081300,AMERICAN CORDIALS & LIQUEURS,434,LUXCO INC,76487,PARAMOUNT AMARETTO,12,1000,4.30,6.45,12,77.40,12.00,3.17
INV-63531400019,2023-10-22T00:00:00.000,5005,LAURENS FOOD PRIDE,410 W MAIN ST,LAURENS,50554,POINT (-94.85333597 42.846958992),,POCAHONTAS,1081300,AMERICAN CORDIALS & LIQUEURS,434,LUXCO INC,78456,PARAMOUNT CREME DE CACAO DARK,12,750,5.25,7.88,3,23.64,2.25,0.59
INV-63531500001,2023-10-22T00:00:00.000,4542,CASEY'S GENERAL STORE #2994 / LAUREN,520 W MAIN ST,LAURENS,50554,POINT (-94.855724981 42.847135012),,POCAHONTAS,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100423,FIREBALL CINNAMON WHISKEY 100ML CARRIER,8,100,6.00,9.00,8,72.00,0.80,0.21
INV-63531500002,2023-10-22T00:00:00.000,4542,CASEY'S GENERAL STORE #2994 / LAUREN,520 W MAIN ST,LAURENS,50554,POINT (-94.855724981 42.847135012),,POCAHONTAS,1701100,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,102092,CAPTAIN MORGAN OSR W/NFL TIN CUP,6,1750,18.00,27.00,6,162.00,10.50,2.77
INV-63531500003,2023-10-22T00:00:00.000,4542,CASEY'S GENERAL STORE #2994 / LAUREN,520 W MAIN ST,LAURENS,50554,POINT (-94.855724981 42.847135012),,POCAHONTAS,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,6,157.44,4.50,1.18
INV-63531500004,2023-10-22T00:00:00.000,4542,CASEY'S GENERAL STORE #2994 / LAUREN,520 W MAIN ST,LAURENS,50554,POINT (-94.855724981 42.847135012),,POCAHONTAS,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,6,157.44,4.50,1.18
INV-63531500005,2023-10-22T00:00:00.000,4542,CASEY'S GENERAL STORE #2994 / LAUREN,520 W MAIN ST,LAURENS,50554,POINT (-94.855724981 42.847135012),,POCAHONTAS,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,24,117.12,9.00,2.37
