invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-61138200047,2023-08-10T00:00:00.000,3713,WAL-MART 0810 / MASON CITY,4151 4TH ST SW,MASON CITY,50401,POINT (-93.262495004 43.145527999),,CERRO GORDO,1091300,NEUTRAL GRAIN SPIRITS FLAVORED,346,OLE SMOKY DISTILLERY LLC,86843,OLE SMOKY SALTY CARAMEL WHISKEY,6,750,11.00,16.50,6,99.00,4.50,1.18
INV-61138200048,2023-08-10T00:00:00.000,3713,WAL-MART 0810 / MASON CITY,4151 4TH ST SW,MASON CITY,50401,POINT (-93.262495004 43.145527999),,CERRO GORDO,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,86886,SOUTHERN COMFORT,12,750,10.33,15.50,12,186.00,9.00,2.37
INV-61138200049,2023-08-10T00:00:00.000,3713,WAL-MART 0810 / MASON CITY,4151 4TH ST SW,MASON CITY,50401,POINT (-93.262495004 43.145527999),,CERRO GORDO,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,86916,SOUTHERN COMFORT 100PRF,12,750,12.15,18.23,12,218.76,9.00,2.37
INV-61138200050,2023-08-10T00:00:00.000,3713,WAL-MART 0810 / MASON CITY,4151 4TH ST SW,MASON CITY,50401,POINT (-93.262495004 43.145527999),,CERRO GORDO,1011400,TENNESSEE WHISKIES,346,OLE SMOKY DISTILLERY LLC,87043,OLE SMOKY PEANUT BUTTER WHISKEY,6,750,11.00,16.50,6,99.00,4.50,1.18
INV-61138200051,2023-08-10T00:00:00.000,3713,WAL-MART 0810 / MASON CITY,4151 4TH ST SW,MASON CITY,50401,POINT (-93.262495004 43.145527999),,CERRO GORDO,1022200,100% AGAVE TEQUILA,065,JIM BEAM BRANDS,88540,HORNITOS LIME SHOT,12,750,15.00,22.50,12,270.00,9.00,2.37
INV-61138300001,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1022200,100% AGAVE TEQUILA,434,LUXCO INC,985347,HA EL MAYOR EXTRA ANEJO 25TH ANNIVERSARY BOURBON BARREL AGED,3,750,65.01,97.52,1,97.52,0.75,0.19
INV-61138400001,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10548,BLACK VELVET TOASTED CARAMEL,6,1750,11.00,16.50,36,594.00,63.00,16.64
INV-61138400002,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11788,BLACK VELVET,6,1750,11.00,16.50,24,396.00,42.00,11.09
INV-61138500001,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11788,BLACK VELVET,6,1750,11.00,16.50,12,198.00,21.00,5.54
INV-61138500003,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1701100,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,17093,BP BULLEIT SINGLE BARREL,12,750,29.99,44.99,1,44.99,0.75,0.19
INV-61138500004,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1011200,STRAIGHT BOURBON WHISKIES,421,SAZERAC COMPANY  INC,21462,BENCHMARK FULL PROOF,12,750,11.50,17.25,1,17.25,0.75,0.19
INV-61138500005,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1011200,STRAIGHT BOURBON WHISKIES,421,SAZERAC COMPANY  INC,21598,TEN HIGH,6,1750,9.24,13.86,6,83.16,10.50,2.77
INV-61138500007,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1062500,FLAVORED RUM,065,JIM BEAM BRANDS,44419,CRUZAN BLACK CHERRY,12,750,7.00,10.50,12,126.00,9.00,2.37
INV-61138500008,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1701100,TEMPORARY & SPECIALTY PACKAGES,085,BROWN FORMAN CORP.,74782,JACK DANIELS WINTER JACK,12,750,10.92,16.38,12,196.56,9.00,2.37
INV-61138500009,2023-08-10T00:00:00.000,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.238599958 43.14966099),,CERRO GORDO,1081200,CREAM LIQUEURS,421,SAZERAC COMPANY  INC,80023,BUFFALO TRACE BOURBON CREAM,12,750,10.40,15.60,6,93.60,4.50,1.18
