invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-64872400096,2023-12-04T00:00:00.000,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.774831041 41.561127981),,POLK,1011400,TENNESSEE WHISKIES,085,BROWN FORMAN CORP.,86670,JACK DANIELS TENNESSEE HONEY,12,750,15.91,23.87,12,286.44,9.00,2.37
INV-64872400097,2023-12-04T00:00:00.000,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.774831041 41.561127981),,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,86884,SOUTHERN COMFORT,24,375,4.78,7.17,4,28.68,1.50,0.39
INV-64872400098,2023-12-04T00:00:00.000,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.774831041 41.561127981),,POLK,1011400,TENNESSEE WHISKIES,346,OLE SMOKY DISTILLERY LLC,87039,OLE SMOKY BOURBON BALL CREAM WHISKEY,6,750,11.00,16.50,6,99.00,4.50,1.18
INV-64872400099,2023-12-04T00:00:00.000,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.774831041 41.561127981),,POLK,1022200,100% AGAVE TEQUILA,370,PERNOD RICARD USA,87369,CODIGO 1530 TEQUILA BLANCO,6,750,24.98,37.47,2,74.94,1.50,0.39
INV-64872400100,2023-12-04T00:00:00.000,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.774831041 41.561127981),,POLK,1022200,100% AGAVE TEQUILA,472,"TEQUILAS PREMIUM, INC",88741,CLASE AZUL REPOSADO,6,750,96.67,145.01,1,145.01,0.75,0.19
INV-64872400101,2023-12-04T00:00:00.000,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.774831041 41.561127981),,POLK,1022200,100% AGAVE TEQUILA,434,LUXCO INC,89178,EL MAYOR ANEJO,6,750,18.50,27.75,6,166.50,4.50,1.18
INV-64872400102,2023-12-04T00:00:00.000,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.774831041 41.561127981),,POLK,1011400,TENNESSEE WHISKIES,346,OLE SMOKY DISTILLERY LLC,986334,SOOH OLE SMOKY AMARETTO WHISKEY,6,750,11.00,16.50,6,99.00,4.50,1.18
INV-64872500001,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1701100,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,102057,FIREBALL FALL TAILGATE BAG,8,50,6.45,9.68,8,77.44,0.40,0.10
INV-64872500002,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10788,CROWN ROYAL VANILLA MINI,10,50,9.95,14.93,3,44.79,0.15,0.03
INV-64872500003,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,17.49,26.24,2,52.48,1.50,0.39
INV-64872500004,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,9.95,14.93,2,29.86,0.10,0.02
INV-64872500005,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,2,52.48,1.50,0.39
INV-64872500006,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11298,CROWN ROYAL,6,1750,33.99,50.99,1,50.99,1.75,0.46
INV-64872500007,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,5.00,7.50,6,45.00,1.20,0.31
INV-64872500008,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1012100,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,11346,SEAGRAMS VO CANADIAN WHISKEY,12,750,5.74,8.61,3,25.83,2.25,0.59
INV-64872500009,2023-12-04T00:00:00.000,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.50,8.25,4,33.00,3.00,0.79
