invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-61099700019,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1062500,FLAVORED RUM,035,BACARDI USA INC,43138,BACARDI LIMON,6,1750,15.50,23.25,12,279.00,21.00,5.54
INV-61099700020,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1062400,SPICED RUM,260,DIAGEO AMERICAS,43334,CAPTAIN MORGAN ORIGINAL SPICED,24,375,5.00,7.50,24,180.00,9.00,2.37
INV-61099700021,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1062400,SPICED RUM,260,DIAGEO AMERICAS,43337,CAPTAIN MORGAN ORIGINAL SPICED,12,1000,12.49,18.74,12,224.88,12.00,3.17
INV-61099700022,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64864,FIREBALL CINNAMON WHISKEY,24,375,5.33,8.00,72,576.00,27.00,7.13
INV-61099700023,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64870,FIREBALL CINNAMON WHISKEY,48,100,1.00,1.50,144,216.00,14.40,3.80
INV-61099700024,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,65013,FIREBALL CINNAMON WHISKEY MINI SLEEVE,12,50,4.30,6.45,36,232.20,1.80,0.47
INV-61099700025,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1082100,IMPORTED CORDIALS & LIQUEURS,619,CAMPARI AMERICA,65126,GRAND MARNIER CORDON ROUGE,12,750,23.00,34.50,12,414.00,9.00,2.37
INV-61099700026,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1082200,IMPORTED SCHNAPPS,421,SAZERAC COMPANY  INC,69636,DR MCGILLICUDDYS CHERRY,12,750,8.66,12.99,12,155.88,9.00,2.37
INV-61099700027,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1082200,IMPORTED SCHNAPPS,421,SAZERAC COMPANY  INC,69656,DR MCGILLICUDDYS MENTHOLMINT,12,750,8.66,12.99,12,155.88,9.00,2.37
INV-61099700028,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1081200,CREAM LIQUEURS,205,E & J GALLO WINERY,73055,RUMCHATA,12,750,14.00,21.00,12,252.00,9.00,2.37
INV-61099700029,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1081400,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,84219,99 PEPPERMINT,48,100,1.00,1.50,48,72.00,4.80,1.26
INV-61099700030,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1022200,100% AGAVE TEQUILA,305,MHW LTD,87181,818 REPOSADO TEQUILA,6,750,27.50,41.25,6,247.50,4.50,1.18
INV-61099700031,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1022200,100% AGAVE TEQUILA,305,MHW LTD,87194,818 BLANCO TEQUILA,6,750,22.50,33.75,6,202.50,4.50,1.18
INV-61099700032,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1022200,100% AGAVE TEQUILA,260,DIAGEO AMERICAS,87485,DON JULIO BLANCO,6,750,30.99,46.49,6,278.94,4.50,1.18
INV-61099700033,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1022200,100% AGAVE TEQUILA,395,PROXIMO,87510,1800 SILVER,12,750,16.50,24.75,12,297.00,9.00,2.37
INV-61099700034,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1012200,SCOTCH WHISKIES,421,SAZERAC COMPANY  INC,8827,LAUDERS,12,1000,6.14,9.21,12,110.52,12.00,3.17
INV-61099700035,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1022200,100% AGAVE TEQUILA,192,"MAST-JAGERMEISTER US, INC",88371,TEREMANA BLANCO TEQUILA,6,750,15.91,23.87,6,143.22,4.50,1.18
INV-61099700036,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1022200,100% AGAVE TEQUILA,192,"MAST-JAGERMEISTER US, INC",88372,TEREMANA REPOSADO TEQUILA,6,750,17.40,26.10,6,156.60,4.50,1.18
INV-61099700037,2023-08-09T00:00:00.000,4582,JIFFY #926 / SPIRIT LAKE,"2402, 17TH ST",SPIRIT LAKE,51360,POINT (-95.126720963 43.423557991),,DICKINSON,1022100,MIXTO TEQUILA,395,PROXIMO,89197,JOSE CUERVO ESPECIAL REPOSADO,12,1000,14.50,21.75,12,261.00,12.00,3.17
INV-61099800001,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11788,BLACK VELVET,6,1750,11.00,16.50,6,99.00,10.50,2.77
INV-61099800002,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1041100,AMERICAN DRY GINS,380,PHILLIPS BEVERAGE,31718,PHILLIPS GIN,6,1750,8.00,12.00,6,72.00,10.50,2.77
INV-61099800003,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1031200,AMERICAN FLAVORED VODKA,115,CONSTELLATION BRANDS INC,33658,SVEDKA MANGO PINEAPPLE,12,750,8.00,12.00,3,36.00,2.25,0.59
INV-61099800004,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35917,FIVE O'CLOCK VODKA,12,1000,4.66,6.99,6,41.94,6.00,1.58
INV-61099800005,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1031100,AMERICAN VODKAS,297,LAIRD & COMPANY,35918,FIVE O'CLOCK VODKA,6,1750,7.72,11.58,6,69.48,10.50,2.77
INV-61099800006,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38177,TITOS HANDMADE VODKA,12,1000,13.17,19.76,12,237.12,12.00,3.17
INV-61099800007,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6,1750,19.00,28.50,6,171.00,10.50,2.77
INV-61099800008,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1062100,GOLD RUM,035,BACARDI USA INC,43036,BACARDI GOLD,12,750,8.76,13.14,3,39.42,2.25,0.59
INV-61099800009,2023-08-09T00:00:00.000,5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,201 MARKET ST N,LAKE PARK,51347,POINT (-95.321424051 43.454804453),,DICKINSON,1062400,SPICED RUM,260,DIAGEO AMERICAS,43337,CAPTAIN MORGAN ORIGINAL SPICED,12,1000,12.49,18.74,12,224.88,12.00,3.17
