invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-62973600041,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1022200,100% AGAVE TEQUILA,240,WILLIAM GRANT & SONS INC,89583,MILAGRO REPOSADO,6,750,17.50,26.25,2,52.50,1.50,0.39
INV-62973600042,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1022200,100% AGAVE TEQUILA,240,WILLIAM GRANT & SONS INC,89584,MILAGRO REPOSADO,12,375,9.50,14.25,2,28.50,0.75,0.19
INV-62973600043,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1022200,100% AGAVE TEQUILA,035,BACARDI USA INC,89626,PATRON REPOSADO,12,750,29.00,43.50,1,43.50,0.75,0.19
INV-62973600044,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1022200,100% AGAVE TEQUILA,035,BACARDI USA INC,89646,PATRON ANEJO,12,750,31.50,47.25,1,47.25,0.75,0.19
INV-62973700001,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1701100,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101472,99 BRAND ADULT VARIETY TRICK & TREAT BAG MINI,1,50,51.60,77.40,1,77.40,0.05,0.01
INV-62973700002,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1701100,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,101791,BULLEIT BOURBON WHISKEY W/MUG,6,750,17.99,26.99,1,26.99,0.75,0.19
INV-62973700003,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10790,CROWN ROYAL VANILLA,24,375,8.49,12.74,2,25.48,0.75,0.19
INV-62973700004,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1012400,IRISH WHISKIES,395,PROXIMO,15526,BUSHMILLS BLACK BUSH IRISH WHISKEY,12,750,23.00,34.50,1,34.50,0.75,0.19
INV-62973700005,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1011500,BOTTLED IN BOND BOURBON,492,WESTERN SPIRITS BEVERAGE,17190,CALUMET FARM 8YR,6,750,25.05,37.58,1,37.58,0.75,0.19
INV-62973700006,2023-10-05T00:00:00.000,010256,LIQUOR AND TOBACCO OUTLET / WATERLOO,2844 UNIVERSITY AVENUE,WATERLOO,50701,POINT (-92.382799207 42.498291885),,BLACK HAWK,1011200,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,18103,EVAN WILLIAMS 1783 SMALL BATCH,6,1750,20.00,30.00,2,60.00,3.50,0.92
