invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-58558500066,2023-05-18T00:00:00.000,4015,WAL-MART 0749 / AMES,3015 GRAND AVE,AMES,50010,POINT (-93.62273897699998 42.05214100100005),,STORY,1022200,100% AGAVE TEQUILA,065,JIM BEAM BRANDS,89836,HORNITOS REPOSADO,12,750,14.50,21.75,12,261.00,9.00,2.37
INV-58558600001,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.60,77.40,1,77.40,0.05,0.01
INV-58558600002,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,24,117.12,9.00,2.37
INV-58558600003,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11788,BLACK VELVET,6,1750,11.00,16.50,6,99.00,10.50,2.77
INV-58558600004,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1031100,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,2.00,3.00,24,72.00,9.00,2.37
INV-58558600005,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1031100,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.50,5.25,12,63.00,9.00,2.37
INV-58558600006,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1031100,AMERICAN VODKAS,777,"BLUE OX SPIRITS, INC.",36989,BLUE OX VODKA PET,12,750,3.74,5.61,12,67.32,9.00,2.37
INV-58558600007,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1031100,AMERICAN VODKAS,260,DIAGEO AMERICAS,37991,SMIRNOFF 80PRF MINI,12,50,7.47,11.21,12,134.52,0.60,0.15
INV-58558600009,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1062200,WHITE RUM,434,LUXCO INC,46350,HAWKEYE LIGHT RUM,6,1750,9.00,13.50,6,81.00,10.50,2.77
INV-58558600010,2023-05-18T00:00:00.000,010111,CASEY'S #4315 - AMES,3218 ORION DRIVE,AMES,50010,POINT (-93.62121196199996 42.054509014000075),,STORY,1022100,MIXTO TEQUILA,395,PROXIMO,87408,JOSE CUERVO ESPECIAL SILVER,12,750,12.00,18.00,6,108.00,4.50,1.18
