"invoice_line_no","date","store","name","address","city","zipcode","store_location","county_number","county","category","category_name","vendor_no","vendor_name","itemno","im_desc","pack","bottle_volume_ml","state_bottle_cost","state_bottle_retail","sale_bottles","sale_dollars","sale_liters","sale_gallons"
"INV-55830600026","2023-02-14T00:00:00.000","5307","FAREWAY STORES #167/JOHNSTON","6005 MERLE HAY ROAD","JOHNSTON","50131","POINT (-93.69769 41.67024)",,"POLK","1091300","NEUTRAL GRAIN SPIRITS FLAVORED","346","OLE SMOKY DISTILLERY LLC","80397","OLE SMOKY BANANA PUDDING CREAM MOONSHINE MINI","8","50","8.75","13.13","1","13.13","0.05","0.01"
"INV-55830600027","2023-02-14T00:00:00.000","5307","FAREWAY STORES #167/JOHNSTON","6005 MERLE HAY ROAD","JOHNSTON","50131","POINT (-93.69769 41.67024)",,"POLK","1091300","NEUTRAL GRAIN SPIRITS FLAVORED","346","OLE SMOKY DISTILLERY LLC","86739","OLE SMOKY APPLE PIE MOONSHINE 70PRF MINI","8","50","8.75","13.13","1","13.13","0.05","0.01"
"INV-55830600028","2023-02-14T00:00:00.000","5307","FAREWAY STORES #167/JOHNSTON","6005 MERLE HAY ROAD","JOHNSTON","50131","POINT (-93.69769 41.67024)",,"POLK","1091300","NEUTRAL GRAIN SPIRITS FLAVORED","346","OLE SMOKY DISTILLERY LLC","86828","OLE SMOKY HUNCH PUNCH MOONSHINE MINI","8","50","8.75","13.13","1","13.13","0.05","0.01"
"INV-55830700001","2023-02-14T00:00:00.000","5307","FAREWAY STORES #167/JOHNSTON","6005 MERLE HAY ROAD","JOHNSTON","50131","POINT (-93.69769 41.67024)",,"POLK","1082100","IMPORTED CORDIALS & LIQUEURS","370","PERNOD RICARD USA","904564","SOOH PERNOD ANISE LIQUEUR","12","750","18.49","27.74","1","27.74","0.75","0.19"
"INV-55830800001","2023-02-14T00:00:00.000","2666","HY-VEE FOOD STORE #2 / STATE ANKENY","2510 SW STATE ST","ANKENY","50023","POINT (-93.62173 41.70471)",,"POLK","1011500","BOTTLED IN BOND BOURBON","300","MCCORMICK DISTILLING CO.","16254","BEN HOLLADAY 6YR MO BOURBON","6","750","30.00","45.00","6","270.00","4.50","1.18"
"INV-55830800002","2023-02-14T00:00:00.000","2666","HY-VEE FOOD STORE #2 / STATE ANKENY","2510 SW STATE ST","ANKENY","50023","POINT (-93.62173 41.70471)",,"POLK","1701100","TEMPORARY & SPECIALTY PACKAGES","065","JIM BEAM BRANDS","19564","BP MAKERS MARK PRIVATE SELECT BARREL BUY","6","750","40.00","60.00","1","60.00","0.75","0.19"
"INV-55830800003","2023-02-14T00:00:00.000","2666","HY-VEE FOOD STORE #2 / STATE ANKENY","2510 SW STATE ST","ANKENY","50023","POINT (-93.62173 41.70471)",,"POLK","1701100","TEMPORARY & SPECIALTY PACKAGES","065","JIM BEAM BRANDS","16275","AO SUNTORY WORLD WHISKY","6","700","30.00","45.00","1","45.00","0.70","0.18"
"INV-55830800005","2023-02-14T00:00:00.000","2666","HY-VEE FOOD STORE #2 / STATE ANKENY","2510 SW STATE ST","ANKENY","50023","POINT (-93.62173 41.70471)",,"POLK","1011200","STRAIGHT BOURBON WHISKIES","421","SAZERAC COMPANY  INC","16850","BLANTONS BOURBON","6","750","28.75","43.13","6","258.78","4.50","1.18"
"INV-55830800007","2023-02-14T00:00:00.000","2666","HY-VEE FOOD STORE #2 / STATE ANKENY","2510 SW STATE ST","ANKENY","50023","POINT (-93.62173 41.70471)",,"POLK","1011200","STRAIGHT BOURBON WHISKIES","421","SAZERAC COMPANY  INC","18006","BUFFALO TRACE BOURBON","12","750","13.00","19.50","12","234.00","9.00","2.37"
"INV-55830800009","2023-02-14T00:00:00.000","2666","HY-VEE FOOD STORE #2 / STATE ANKENY","2510 SW STATE ST","ANKENY","50023","POINT (-93.62173 41.70471)",,"POLK","1011200","STRAIGHT BOURBON WHISKIES","421","SAZERAC COMPANY  INC","16518","ANCIENT AGE BOURBON","6","1750","11.80","17.70","6","106.20","10.50","2.77"
"INV-55830800010","2023-02-14T00:00:00.000","2666","HY-VEE FOOD STORE #2 / STATE ANKENY","2510 SW STATE ST","ANKENY","50023","POINT (-93.62173 41.70471)",,"POLK","1011200","STRAIGHT BOURBON WHISKIES","421","SAZERAC COMPANY  INC","16516","ANCIENT AGE BOURBON","12","750","6.16","9.24","12","110.88","9.00","2.37"
