"invoice_line_no","date","store","name","address","city","zipcode","store_location","county_number","county","category","category_name","vendor_no","vendor_name","itemno","im_desc","pack","bottle_volume_ml","state_bottle_cost","state_bottle_retail","sale_bottles","sale_dollars","sale_liters","sale_gallons"
"INV-54974400039","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1031100","AMERICAN VODKAS","421","SAZERAC COMPANY  INC","37938","SKOL VODKA","6","1750","7.12","10.68","6","64.08","10.50","2.77"
"INV-54974400040","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1031100","AMERICAN VODKAS","421","SAZERAC COMPANY  INC","37935","SKOL VODKA PET","12","750","3.66","5.49","12","65.88","9.00","2.37"
"INV-54974400041","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1031100","AMERICAN VODKAS","421","SAZERAC COMPANY  INC","38088","PLATINUM 7X VODKA","6","1750","9.44","14.16","12","169.92","21.00","5.54"
"INV-54974400042","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1012100","CANADIAN WHISKIES","260","DIAGEO AMERICAS","11296","CROWN ROYAL","12","750","17.49","26.24","12","314.88","9.00","2.37"
"INV-54974400043","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1012100","CANADIAN WHISKIES","260","DIAGEO AMERICAS","10807","CROWN ROYAL REGAL APPLE","12","750","17.49","26.24","12","314.88","9.00","2.37"
"INV-54974400044","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1012200","SCOTCH WHISKIES","260","DIAGEO AMERICAS","5318","JOHNNIE WALKER DOUBLE BLACK","6","750","24.99","37.49","3","112.47","2.25","0.59"
"INV-54974400045","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1012100","CANADIAN WHISKIES","380","PHILLIPS BEVERAGE","14536","REVEL STOKE SMOREGASM TOASTED SMORES WHISKY","12","750","9.02","13.53","12","162.36","9.00","2.37"
"INV-54974400046","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1012100","CANADIAN WHISKIES","380","PHILLIPS BEVERAGE","14519","REVEL STOKE NUTCRUSHER PEANUT BUTTER WHISKY","12","750","9.02","13.53","12","162.36","9.00","2.37"
"INV-54974400047","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1022200","100% AGAVE TEQUILA","434","LUXCO INC","87596","EL MAYOR BLANCO","6","750","15.00","22.50","6","135.00","4.50","1.18"
"INV-54974400048","2023-01-16T00:00:00.000","2508","HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS","1843 JOHNSON AVENUE, N.W.","CEDAR RAPIDS","52405","POINT (-91.69838 41.97449)",,"LINN","1022300","MEZCAL","421","SAZERAC COMPANY  INC","89566","MONTE ALBAN MEZCAL","12","750","13.26","19.89","6","119.34","4.50","1.18"
