invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons
INV-54737800021,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1022100,MIXTO TEQUILA,395,PROXIMO,89196,JOSE CUERVO ESPECIAL REPOSADO,12,750,12.00,18.00,12,216.00,9.00,2.37
INV-54737800022,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1022100,MIXTO TEQUILA,395,PROXIMO,89198,JOSE CUERVO ESPECIAL REPOSADO,6,1750,23.00,34.50,6,207.00,10.50,2.77
INV-54737800023,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1031100,AMERICAN VODKAS,380,PHILLIPS BEVERAGE,37663,ROW VODKA,12,750,6.30,9.45,12,113.40,9.00,2.37
INV-54737800024,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38176,TITOS HANDMADE VODKA,12,750,10.00,15.00,12,180.00,9.00,2.37
INV-54737800025,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6,1750,19.00,28.50,6,171.00,10.50,2.77
INV-54737800026,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1062400,SPICED RUM,260,DIAGEO AMERICAS,1799,CAPTAIN MORGAN ORIGINAL SPICED BARREL,6,1750,18.00,27.00,6,162.00,10.50,2.77
INV-54737800027,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1081200,CREAM LIQUEURS,260,DIAGEO AMERICAS,68036,BAILEYS ORIGINAL IRISH CREAM,12,750,16.49,24.74,12,296.88,9.00,2.37
INV-54737800028,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64865,FIREBALL CINNAMON WHISKEY PET,12,750,9.00,13.50,12,161.64,9.00,2.37
INV-54737800029,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64868,FIREBALL CINNAMON WHISKEY,6,1750,15.33,23.00,6,138.00,10.50,2.77
INV-54737800030,2023-01-08T00:00:00.000,2669,HY-VEE / CORYDON,"105, E JACKSON ST",CORYDON,50060,POINT (-93.31788 40.75839),,WAYNE,1081200,CREAM LIQUEURS,259,HEAVEN HILL BRANDS,68126,CAROLANS IRISH CREAM,12,750,9.50,14.25,12,171.00,9.00,2.37
