"invoice_line_no","date","store","name","address","city","zipcode","store_location","county_number","county","category","category_name","vendor_no","vendor_name","itemno","im_desc","pack","bottle_volume_ml","state_bottle_cost","state_bottle_retail","sale_bottles","sale_dollars","sale_liters","sale_gallons"
"INV-59914500016","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1062200","WHITE RUM","434","LUXCO INC","45278","PARAMOUNT WHITE RUM","6","1750","8.00","12.00","6","72.00","10.50","2.77"
"INV-59914500017","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1051100","AMERICAN BRANDIES","434","LUXCO INC","54056","ARROW APRICOT BRANDY","12","750","5.75","8.63","2","17.26","1.50","0.39"
"INV-59914500018","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1071000","COCKTAILS/RTD","395","PROXIMO","58872","JOSE CUERVO AUTHENTIC LIGHT LIME MARGARITA","6","1750","8.74","13.11","6","78.66","10.50","2.77"
"INV-59914500019","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1701100","TEMPORARY & SPECIALTY PACKAGES","085","BROWN FORMAN CORP.","62809","OLD FORESTER MINT JULEP","12","1000","13.50","20.25","2","40.50","2.00","0.52"
"INV-59914500020","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1082200","IMPORTED SCHNAPPS","421","SAZERAC COMPANY  INC","69638","DR MCGILLICUDDYS CHERRY","6","1750","14.66","21.99","1","21.99","1.75","0.46"
"INV-59914500021","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1081300","AMERICAN CORDIALS & LIQUEURS","259","HEAVEN HILL BRANDS","72722","CHRISTIAN BROS HONEY","12","750","6.00","9.00","2","18.00","1.50","0.39"
"INV-59914500022","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1081300","AMERICAN CORDIALS & LIQUEURS","434","LUXCO INC","76486","PARAMOUNT AMARETTO","12","750","3.75","5.63","12","67.56","9.00","2.37"
"INV-59914500023","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1081400","AMERICAN SCHNAPPS","434","LUXCO INC","80576","ARROW PEPPERMINT SCHNAPPS","12","750","3.75","5.63","12","67.56","9.00","2.37"
"INV-59914500024","2023-06-30T00:00:00.000","4182","FAREWAY STORES #008 / DYERSVILLE","1207  12TH AVE SE","DYERSVILLE","52040","POINT (-91.111910963 42.47492801)",,"DUBUQUE","1012100","CANADIAN WHISKIES","259","HEAVEN HILL BRANDS","86456","BLACK VELVET APPLE","6","1750","11.00","16.50","6","99.00","10.50","2.77"
"INV-59914600001","2023-06-30T00:00:00.000","2713","HY-VEE DYERSVILLE DOLLAR FRESH","1201 12TH AVE SE","DYERSVILLE","52040","POINT (-91.110693994 42.474798007)",,"DUBUQUE","1012100","CANADIAN WHISKIES","259","HEAVEN HILL BRANDS","11588","BLACK VELVET RESERVE","6","1750","15.00","22.50","6","135.00","10.50","2.77"
